what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227123095164
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227123096695
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227123099398
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227123100023
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227123101648
activated,editor,org.eclipse.wst.xml.ui,1.0.410.v200809120143,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1227123103086
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1227123117789
opened,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1227123118789
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1227123118883
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1227123124679
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1227123127133
closed,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1227123131383
activated,editor,org.eclipse.jst.jsp.ui,1.1.310.v200809120122,org.eclipse.jst.jsp.core.jspsource.source,1227123132101
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1227123134633
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1227123135633
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1227123136445
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.project.buildAll,1227123137008
activated,view,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.ui.ServersView,1227123138445
executed,command,org.eclipse.wst.server.ui,1.1.2.v20080916,org.eclipse.wst.server.publish,1227123138601
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227123152164
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227123163539
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1227123164883
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227123165711
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227123179711
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1227123209008
